overnight_gap_pct,overnight_gap_pct_z20,overnight_range_pct,overnight_range_pct_p20,overnight_range_pct_p60,overnight_oi_change_pct,overnight_oi_change_pct_z20,overnight_volume_conviction,overnight_vol_delta,overnight_vol_delta_z20,fii_net_idx_fut,fii_net_idx_fut_delta5,fii_net_idx_fut_z20,fii_net_idx_fut_p60,fii_net_stk_fut,fii_net_stk_fut_delta5,fii_net_stk_fut_z20,fii_options_skew,fii_options_skew_z20,fii_options_skew_ratio,fii_dii_divergence,fii_dii_divergence_z20,client_vs_fii_divergence,client_vs_fii_divergence_z60,fii_acceleration_1d,fii_acceleration_1d_z20,fii_acceleration_3d,fii_acceleration_3d_z20,fii_acceleration_5d,fii_acceleration_5d_z20,pcr_oi_near_month,pcr_oi_next_month,max_pain_distance_pct,oi_concentration_atm,buildup_class,buildup_intensity,vix_overnight_gap_pct,vix_overnight_gap_pct_z20,turnover_weighted_breadth,turnover_weighted_breadth_z20,leadership_concentration,leadership_concentration_p60,cross_sectional_dispersion,cross_sectional_dispersion_z20,volume_concentration,volume_concentration_p60,iv_rv_spread,iv_rv_ratio,iv_rv_spread_z60,overnight_vs_session_vol,overnight_vs_session_vol_z20,nifty500_vs_nifty50_return_5d,midcap150_vs_nifty50_return_5d,smallcap250_vs_nifty50_return_5d,index_breadth_divergence,date,availability_regime,missing_count,nifty_return,breadth_ratio,vix_change_pct,coincident_truth,next_day_return,predictive_truth
,,,,,,,,,,-8297.0,31247.0,0.2594059150167236,,106008.0,39179.0,1.196386077104911,-129375.0,-0.6593187947632896,0.4576237876718386,2073837.0,0.4197606132712009,1258559.0,,-2928.0,0.016994507256051183,10235.0,0.6502176250277122,31247.0,1.1881518494381322,1.0962828675809497,2.3001459364902437,-3.2022988505747167,22.294698638150894,,,0.0,1.112137042281379,0.06685692174519439,-1.6551090697114847,21.55415299384689,,3.042293973272334,0.30174511146516964,44.9240417853036,,2.2112491130664615,1.106470009925231,,,,-0.010078329978289766,-0.03032307142233054,-0.04875629337109079,0.0,2022-02-14,pre_ix,19,-0.03061626785996925,0.0627666057282145,23.019271948608143,Bearish,0.030259220557152106,Bullish
,,,,,,,,,,12108.0,46616.0,1.0526502934342292,,144837.0,62386.0,2.217319138342864,-87323.0,0.007158896208323036,0.47456238730143935,2254759.0,2.258564760776843,902973.0,,20405.0,1.39107459596885,5484.0,0.4750108998406135,46616.0,1.4246409075477608,1.1558515431403469,2.2441221163144083,-0.2732758620689614,26.532355607338694,,,-0.010879025239344121,0.12286807891654035,0.8857331996653063,1.5500534543332487,21.32503690726789,,2.894977799217628,-0.09306641770786216,45.93003277594413,,-3.308484420834734,0.8616766696993224,,,,-0.008429664327831795,-0.024726966676871704,-0.04224406585850716,-1.0,2022-02-15,pre_ix,19,0.030259220557152106,0.756441717791411,-10.313315926892955,Bullish,-0.0017432696823791451,Neutral
,,,,,,,,,,18434.0,36966.0,1.4402375862255652,,154056.0,55919.0,2.100332175659888,-80229.0,0.08201556695063725,0.477055756094185,2264004.0,1.9898771641738449,1024790.0,,6326.0,0.4757248583108061,23803.0,1.0085134361068189,36966.0,1.1103730713439661,1.1742554538166168,2.214291791975354,-0.447126436781605,36.88774654709857,,,0.012130033964101304,2.046167003089358,0.5068893597968371,0.032757410881433816,22.899644396180165,,2.6834818073256237,-0.6647661704924688,47.39395839950113,,-3.140229788910805,0.867669642610109,,,,-0.006972028252540065,-0.02407101616754342,-0.02519594963908543,0.0,2022-02-16,pre_ix,19,-0.0017432696823791451,0.6323891625615764,-0.09704027171275874,Neutral,-0.0010160372239093292,Neutral
,,,,,,,,,,29158.0,22534.0,1.8554787384196485,,166785.0,61392.0,2.083350923320327,-174930.0,-1.3356520755908017,0.4266230759163621,2245100.0,1.7170536308241313,795462.0,,10724.0,0.6765179230623799,37455.0,1.3107144911024855,22534.0,0.725282739352301,0.9313558486900455,2.1135291440058306,-0.5482758620689739,31.878156467047784,,,0.012141816415742007,1.8192259319427757,0.4162975403990503,-0.3203273125055287,23.930891596148875,,2.4426696209338354,-1.3355292122069824,47.13211745532538,,-1.5579054716815364,0.9338971605451546,,,,-0.005397514669142629,-0.019912139292694083,-0.024883679016988337,0.0,2022-02-17,pre_ix,19,-0.0010160372239093292,0.31356968215158926,6.8965517241379395,Neutral,-0.001635403303167902,Neutral
,,,,,,,,,,37463.0,42832.0,1.9360343783988303,,173539.0,81807.0,1.9016259427580173,-133796.0,-0.640627102821091,0.45330549727293157,2209785.0,1.2913642738111522,782618.0,,8305.0,0.4503721852758492,25355.0,0.8312088332584453,42832.0,1.0699635444796851,2.171169385176498,2.171169385176498,-1.2782857142857185,26.254836433094347,,,-0.022716946842356006,-1.1123788039785163,0.30375112732132314,-0.7336236376757338,21.454189285766073,,2.4244605134086807,-1.2489014899819209,47.36124032024237,,-1.189925717705254,0.9490612370910336,,,,-0.006461618173263506,-0.02057255112025159,-0.025867210993132883,0.0,2022-02-18,pre_ix,19,-0.001635403303167902,0.24676923076923077,0.726942298955021,Neutral,-0.004031534529962887,Bearish
,,,,,,,,,,34850.0,43147.0,1.65922011744832,,192844.0,86836.0,1.959257788760523,-204308.0,-1.5254239136510692,0.432510052073905,2235160.0,1.363462748433732,773591.0,,-2613.0,-0.29299652924018393,16416.0,0.4613656834420028,43147.0,0.9762985209668296,2.1789290003251085,2.1789290003251085,-1.676285714285706,25.32498478128533,,,-0.022552999548951545,-1.036971554536003,0.24885353447039107,-0.9486087744296716,22.21412594757365,,2.9882106223779314,0.39082819870145646,53.65771291143769,,-0.3565462292300765,0.9846689948836018,,,,-0.0079433598424828,-0.020683354539895348,-0.03625832543445861,-1.0,2022-02-21,pre_ix,19,-0.004031534529962887,0.11246943765281174,3.2927379341452268,Bearish,-0.0066514981126483495,Bearish
,,,,,,,,,,18824.0,6716.0,1.045621861368026,,226234.0,81397.0,2.1681261602864423,-204885.0,-1.4667996106027237,0.437899522618777,2298442.0,1.6671531545986227,670956.0,,-16026.0,-1.207114610413241,-10334.0,-0.5934297697899731,6716.0,0.07041132083540509,2.1682483023648484,2.1682483023648484,-1.7689655172413752,19.997690790812996,,,0.010917030567691175,1.6215171120396146,0.3262531268285799,-0.7547256601870302,22.06603391926126,,2.9088166775000883,0.11914830505340965,47.244224975178945,,5.347568515581397,1.250913112353744,,,,-0.006379236572173061,-0.01840501226103964,-0.037563203443079306,0.0,2022-02-22,pre_ix,19,-0.0066514981126483495,0.1460880195599022,16.419213973799135,Bearish,-0.0016937550461614494,Neutral
,,,,,,,,,,20065.0,1631.0,0.9932385946763601,,248684.0,94628.0,2.125621101087941,-62732.0,0.6697582658562381,0.48289441393489557,2364255.0,1.852301402085588,656137.0,,1241.0,-0.05422267299261804,-17398.0,-0.9037497472202489,1631.0,-0.1453871644384261,2.131253082734093,2.131253082734093,-1.9353448275862069,19.981539668985263,,,0.00937734433608882,1.3295973501910494,0.6243810587981745,0.5148479288223383,19.30876485112445,,2.904068408517961,0.13711520335920868,46.48918496073831,,3.416418446456184,1.1617348098756968,,,,-0.0041822741115563646,-0.013194636037719375,-0.033553220621767674,0.0,2022-02-23,pre_ix,19,-0.0016937550461614494,0.7256582976117575,-7.951987996999253,Bullish,-0.047781049917219716,Bearish
,,,,,,,,,,-7605.0,-36763.0,0.09280970138932157,,311679.0,144894.0,2.5129436255682394,-131463.0,-0.37845112757432503,0.4318901729492136,2189732.0,0.5818307304206153,407455.0,,-27670.0,-1.9327560028045425,-42455.0,-1.8923244786125184,-36763.0,-1.3246444269541737,1.9997662445765891,1.9997662445765891,-4.42382352941176,27.33041908201083,,,0.010187449062759897,1.2537357084522487,0.00643017767697501,-1.849597549003413,22.928661833019383,,3.491290690465184,1.7025814675128235,47.54822676731843,,4.8725531377787945,1.1797496150244056,,,,-0.006386524418519557,-0.0170266152194022,-0.036624508138204975,0.0,2022-02-24,pre_ix,19,-0.047781049917219716,0.02251978088861838,30.317848410757954,Bearish,0.02526164839256649,Bullish
,,,,,,,,,,34928.0,-2535.0,1.3180203840655644,,352034.0,178495.0,2.4578749860424294,-155128.0,-0.6815495087415182,0.4380689956931587,2280517.0,1.1289947547134556,320347.0,,42533.0,2.231200118946623,16104.0,0.32637357762168495,-2535.0,-0.5100003698570041,1.915795702347476,1.6440981195086073,-2.009411764705874,19.460033403077848,,,0.007817385866170354,0.9738869789405747,0.9616675470284586,1.6502863779380963,22.0852454865582,,3.3940974718032866,1.2784384961101674,48.06197632503416,,-2.0780868612141603,0.9278894927611927,,,,0.00019301366134603232,0.0016569769492064748,-0.015705421596330392,0.0,2022-02-25,pre_ix,19,0.02526164839256649,0.9273947528981086,-16.385240775484682,Bullish,0.008134034481102627,Bullish
