2026-03-21 04:27:21 [INFO] ======================================================================
2026-03-21 04:27:21 [INFO] NSE HISTORICAL BACKFILL
2026-03-21 04:27:21 [INFO] Date range: 2020-01-01 to 2025-08-31
2026-03-21 04:27:21 [INFO] Feeds: cm, idx, fo
2026-03-21 04:27:21 [INFO] Format switch date: 2024-01-01
2026-03-21 04:27:21 [INFO] ======================================================================
2026-03-21 04:27:21 [INFO] Connected to database
2026-03-21 04:27:21 [INFO] Total weekday dates in range: 1478
2026-03-21 04:27:21 [INFO] Progress: 1/1478 dates (2020-01-01) | Rate: 174762.7 dates/s | ETA: 0.0h
2026-03-21 04:36:09 [INFO] CM 2020-04-01: parsed=1552, inserted=52, skipped=1500, time=0.1s
2026-03-21 04:36:11 [INFO] IDX 2020-04-01: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:36:15 [INFO] FO 2020-04-01: parsed=44227, inserted=22227, skipped=22000, time=2.5s
2026-03-21 04:36:24 [INFO] CM 2020-04-03: parsed=1551, inserted=51, skipped=1500, time=0.2s
2026-03-21 04:36:26 [INFO] IDX 2020-04-03: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:36:30 [INFO] FO 2020-04-03: parsed=43761, inserted=21759, skipped=22002, time=2.2s
2026-03-21 04:36:38 [INFO] CM 2020-04-07: parsed=1559, inserted=59, skipped=1500, time=0.2s
2026-03-21 04:36:40 [INFO] IDX 2020-04-07: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:36:45 [INFO] FO 2020-04-07: parsed=43997, inserted=21997, skipped=22000, time=2.3s
2026-03-21 04:36:47 [INFO] CM 2020-04-08: parsed=1555, inserted=55, skipped=1500, time=0.2s
2026-03-21 04:36:49 [INFO] IDX 2020-04-08: parsed=80, inserted=80, skipped=0, time=0.1s
2026-03-21 04:36:53 [INFO] FO 2020-04-08: parsed=44261, inserted=22261, skipped=22000, time=2.5s
2026-03-21 04:36:56 [INFO] CM 2020-04-09: parsed=1556, inserted=56, skipped=1500, time=0.5s
2026-03-21 04:36:58 [INFO] IDX 2020-04-09: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:37:02 [INFO] FO 2020-04-09: parsed=44395, inserted=22395, skipped=22000, time=2.5s
2026-03-21 04:37:11 [INFO] CM 2020-04-13: parsed=1516, inserted=16, skipped=1500, time=0.1s
2026-03-21 04:37:13 [INFO] IDX 2020-04-13: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:37:17 [INFO] FO 2020-04-13: parsed=43957, inserted=21957, skipped=22000, time=2.5s
2026-03-21 04:37:26 [INFO] CM 2020-04-15: parsed=1525, inserted=25, skipped=1500, time=0.1s
2026-03-21 04:37:28 [INFO] IDX 2020-04-15: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:37:32 [INFO] FO 2020-04-15: parsed=44051, inserted=22051, skipped=22000, time=2.2s
2026-03-21 04:37:34 [INFO] CM 2020-04-16: parsed=1524, inserted=24, skipped=1500, time=0.1s
2026-03-21 04:37:36 [INFO] IDX 2020-04-16: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:37:41 [INFO] FO 2020-04-16: parsed=44105, inserted=22105, skipped=22000, time=2.4s
2026-03-21 04:37:43 [INFO] CM 2020-04-17: parsed=1520, inserted=20, skipped=1500, time=0.1s
2026-03-21 04:37:45 [INFO] IDX 2020-04-17: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:37:49 [INFO] FO 2020-04-17: parsed=43589, inserted=21589, skipped=22000, time=2.4s
2026-03-21 04:37:51 [INFO] CM 2020-04-20: parsed=1523, inserted=23, skipped=1500, time=0.1s
2026-03-21 04:37:53 [INFO] IDX 2020-04-20: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:37:58 [INFO] FO 2020-04-20: parsed=43789, inserted=21788, skipped=22001, time=2.4s
2026-03-21 04:38:00 [INFO] CM 2020-04-21: parsed=1516, inserted=16, skipped=1500, time=0.1s
2026-03-21 04:38:02 [INFO] IDX 2020-04-21: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:38:06 [INFO] FO 2020-04-21: parsed=43819, inserted=21819, skipped=22000, time=2.1s
2026-03-21 04:38:08 [INFO] CM 2020-04-22: parsed=1515, inserted=15, skipped=1500, time=0.1s
2026-03-21 04:38:10 [INFO] IDX 2020-04-22: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:38:14 [INFO] FO 2020-04-22: parsed=43849, inserted=21848, skipped=22001, time=2.2s
2026-03-21 04:38:17 [INFO] CM 2020-04-23: parsed=1459, inserted=459, skipped=1000, time=0.1s
2026-03-21 04:38:19 [INFO] IDX 2020-04-23: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:38:23 [INFO] FO 2020-04-23: parsed=43889, inserted=21889, skipped=22000, time=2.1s
2026-03-21 04:38:25 [INFO] CM 2020-04-24: parsed=1454, inserted=454, skipped=1000, time=0.1s
2026-03-21 04:38:27 [INFO] IDX 2020-04-24: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:38:31 [INFO] FO 2020-04-24: parsed=43353, inserted=21853, skipped=21500, time=2.0s
2026-03-21 04:38:33 [INFO] CM 2020-04-27: parsed=1462, inserted=462, skipped=1000, time=0.1s
2026-03-21 04:38:35 [INFO] IDX 2020-04-27: parsed=81, inserted=81, skipped=0, time=0.1s
2026-03-21 04:38:39 [INFO] FO 2020-04-27: parsed=43435, inserted=21935, skipped=21500, time=1.9s
2026-03-21 04:38:41 [INFO] CM 2020-04-28: parsed=1455, inserted=455, skipped=1000, time=0.1s
2026-03-21 04:38:43 [INFO] IDX 2020-04-28: parsed=81, inserted=81, skipped=0, time=0.1s
